targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,6.2,4.37264222181509,17.0,1.0,6.138211382113822
7.1,6.4,4.47213595499958,17.0,1.0,6.593886462882096
7.2,6.8,4.418144406874904,17.0,1.0,6.95852534562212
7.3,7.84,6.077367851298784,29.0,1.0,7.947368421052632
7.4,7.84,6.077367851298784,29.0,1.0,8.48314606741573
7.5,7.84,6.077367851298784,29.0,1.0,9.378881987577639
7.6,9.12,7.773390508651937,36.0,1.0,10.202702702702704
7.7,10.84,8.8619636650124,36.0,1.0,11.705426356589147
7.8,11.12,8.851304988531354,36.0,1.0,12.276422764227643
7.9,11.12,8.851304988531354,36.0,1.0,13.017241379310345
8.0,11.12,8.851304988531354,36.0,1.0,13.853211009174313
8.1,11.88,8.585196561523794,36.0,1.0,14.950495049504951
8.2,12.48,8.695378082636774,38.0,1.0,16.96629213483146
8.3,12.48,8.695378082636774,38.0,1.0,17.976190476190474
8.4,12.48,8.695378082636774,38.0,1.0,19.11392405063291
8.5,14.96,13.01838699685948,58.0,1.0,22.205882352941178
8.6,14.96,13.01838699685948,58.0,1.0,23.96825396825397
8.7,14.96,13.01838699685948,58.0,1.0,23.96825396825397
8.8,15.12,13.005598794365449,58.0,1.0,26.49122807017544
8.9,17.4,13.813037319865606,64.0,1.0,29.607843137254903
9.0,18.0,14.472042012100435,64.0,1.0,32.12765957446808
9.1,18.08,14.477347823410195,64.0,1.0,34.31818181818182
9.2,22.44,13.991654655543783,64.0,1.0,40.810810810810814
9.3,22.48,13.988909893197539,64.0,1.0,43.142857142857146
9.4,22.92,13.953981510665693,64.0,1.0,47.1875
9.5,22.92,13.953981510665693,64.0,1.0,50.333333333333336
9.6,23.32,14.178067569312821,64.0,1.0,53.92857142857143
9.7,24.4,13.891004283348272,64.0,6.0,58.07692307692308
9.8,24.72,13.860793628071953,64.0,6.0,60.4
9.9,24.84,13.797622983688166,64.0,6.0,65.65217391304348
10.0,25.36,13.69636448113148,64.0,6.0,71.9047619047619
10.1,28.28,18.630126140206354,84.0,6.0,79.47368421052632
10.2,28.28,18.630126140206354,84.0,6.0,79.47368421052632
10.3,28.28,18.630126140206354,84.0,6.0,79.47368421052632
10.4,28.28,18.630126140206354,84.0,6.0,79.47368421052632
10.5,28.28,18.630126140206354,84.0,6.0,88.82352941176471
10.6,28.28,18.630126140206354,84.0,6.0,94.375
10.7,28.36,18.555602927417908,84.0,6.0,107.85714285714286
10.8,28.36,18.555602927417908,84.0,6.0,107.85714285714286
10.9,28.36,18.555602927417908,84.0,6.0,125.83333333333333
11.0,52.96,27.519418598509674,118.0,6.0,151.0
11.100000000000001,55.96,27.048815131166094,122.0,9.0,188.75
11.2,55.96,27.048815131166094,122.0,9.0,188.75
11.3,56.36,26.39981818119208,122.0,14.0,377.5
11.4,105.0,83.67604197140302,336.0,24.0,755.0
11.5,105.0,83.67604197140302,336.0,24.0,755.0
11.600000000000001,105.0,83.67604197140302,336.0,24.0,755.0
11.7,105.0,83.67604197140302,336.0,24.0,755.0
11.769551078621726,105.0,83.67604197140302,336.0,24.0,755.0
