targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,2.92,2.0183161298468586,9.0,2.0,6.138211382113822
7.1,2.92,2.0183161298468586,9.0,2.0,6.593886462882096
7.2,3.52,2.6999259249097918,11.0,2.0,6.95852534562212
7.3,3.52,2.6999259249097918,11.0,2.0,7.947368421052632
7.4,3.52,2.6999259249097918,11.0,2.0,8.48314606741573
7.5,3.92,2.8272955275315668,11.0,2.0,9.378881987577639
7.6,4.0,2.939387691339814,11.0,2.0,10.202702702702704
7.7,5.52,6.64,34.0,2.0,11.705426356589147
7.8,5.88,6.683232750697824,34.0,2.0,12.276422764227643
7.9,6.24,6.706891977659995,34.0,2.0,13.017241379310345
8.0,7.72,6.861603311180268,34.0,2.0,13.853211009174313
8.1,7.72,6.861603311180268,34.0,2.0,14.950495049504951
8.2,7.96,6.855537907414705,34.0,2.0,16.96629213483146
8.3,8.24,7.032951016465278,34.0,2.0,17.976190476190474
8.4,8.64,7.059065093905851,34.0,2.0,19.11392405063291
8.5,9.36,6.985012526832002,34.0,2.0,22.205882352941178
8.6,9.6,7.037044834303672,34.0,2.0,23.96825396825397
8.7,9.6,7.037044834303672,34.0,2.0,23.96825396825397
8.8,9.72,7.0965907307664295,34.0,2.0,26.49122807017544
8.9,11.12,7.458257169071069,34.0,2.0,29.607843137254903
9.0,12.08,7.6572579948699655,34.0,2.0,32.12765957446808
9.1,12.08,7.6572579948699655,34.0,2.0,34.31818181818182
9.2,14.16,8.326728048879705,34.0,2.0,40.810810810810814
9.3,14.84,7.993397275251619,34.0,2.0,43.142857142857146
9.4,16.04,8.788537989904805,34.0,2.0,47.1875
9.5,16.92,9.243029806291874,34.0,2.0,50.333333333333336
9.6,16.92,9.243029806291874,34.0,2.0,53.92857142857143
9.7,17.36,9.384583102088234,34.0,2.0,58.07692307692308
9.8,17.76,9.613656952481714,34.0,2.0,60.4
9.9,18.36,9.06368578449187,34.0,2.0,65.65217391304348
10.0,19.24,9.411822352764633,35.0,2.0,71.9047619047619
10.1,20.36,9.649373036627818,35.0,2.0,79.47368421052632
10.2,20.36,9.649373036627818,35.0,2.0,79.47368421052632
10.3,20.36,9.649373036627818,35.0,2.0,79.47368421052632
10.4,20.36,9.649373036627818,35.0,2.0,79.47368421052632
10.5,20.4,9.707728879609277,35.0,2.0,88.82352941176471
10.6,21.08,9.83023906118259,35.0,2.0,94.375
10.7,21.12,9.87651760490508,35.0,2.0,107.85714285714286
10.8,21.12,9.87651760490508,35.0,2.0,107.85714285714286
10.9,21.24,10.037051359836713,36.0,2.0,125.83333333333333
11.0,44.76,22.0658650408272,89.0,2.0,151.0
11.100000000000001,52.32,15.936674684513077,90.0,4.0,188.75
11.2,52.32,15.936674684513077,90.0,4.0,188.75
11.3,52.96,14.32055864832095,90.0,17.0,377.5
11.4,84.96,79.4835731456507,341.0,38.0,755.0
11.5,84.96,79.4835731456507,341.0,38.0,755.0
11.600000000000001,84.96,79.4835731456507,341.0,38.0,755.0
11.7,84.96,79.4835731456507,341.0,38.0,755.0
11.769551078621726,84.96,79.4835731456507,341.0,38.0,755.0
