targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,6.56,5.276968826892954,21.0,1.0,6.138211382113822
7.1,6.76,5.346251022913159,21.0,1.0,6.593886462882096
7.2,7.48,5.72097893720996,21.0,1.0,6.95852534562212
7.3,8.4,6.645299090334459,26.0,1.0,7.947368421052632
7.4,8.48,6.688019138728597,26.0,1.0,8.48314606741573
7.5,8.48,6.688019138728597,26.0,1.0,9.378881987577639
7.6,9.04,6.624077294235024,26.0,1.0,10.202702702702704
7.7,10.08,6.355595959467531,26.0,1.0,11.705426356589147
7.8,10.52,6.369426975796174,26.0,1.0,12.276422764227643
7.9,11.32,7.9433997759145925,36.0,1.0,13.017241379310345
8.0,11.32,7.9433997759145925,36.0,1.0,13.853211009174313
8.1,14.28,11.965015670695964,55.0,1.0,14.950495049504951
8.2,22.64,21.605332675059646,83.0,1.0,16.96629213483146
8.3,22.64,21.605332675059646,83.0,1.0,17.976190476190474
8.4,22.64,21.605332675059646,83.0,1.0,19.11392405063291
8.5,27.08,24.175888815098403,83.0,1.0,22.205882352941178
8.6,29.12,25.17668762963071,83.0,1.0,23.96825396825397
8.7,29.12,25.17668762963071,83.0,1.0,23.96825396825397
8.8,29.96,25.19599968248928,83.0,1.0,26.49122807017544
8.9,30.56,24.842028902648025,83.0,1.0,29.607843137254903
9.0,31.0,24.741867350707384,83.0,1.0,32.12765957446808
9.1,38.8,32.57852053117207,103.0,1.0,34.31818181818182
9.2,44.2,30.901132665324745,103.0,1.0,40.810810810810814
9.3,44.2,30.901132665324745,103.0,1.0,43.142857142857146
9.4,48.36,30.587422251638007,103.0,1.0,47.1875
9.5,49.24,31.078326853291188,103.0,1.0,50.333333333333336
9.6,72.0,54.84669543372691,168.0,1.0,53.92857142857143
9.7,74.36,52.773387232581534,168.0,6.0,58.07692307692308
9.8,74.36,52.773387232581534,168.0,6.0,60.4
9.9,74.36,52.773387232581534,168.0,6.0,65.65217391304348
10.0,74.36,52.773387232581534,168.0,6.0,71.9047619047619
10.1,75.24,52.56560091923234,168.0,6.0,79.47368421052632
10.2,75.24,52.56560091923234,168.0,6.0,79.47368421052632
10.3,75.24,52.56560091923234,168.0,6.0,79.47368421052632
10.4,75.24,52.56560091923234,168.0,6.0,79.47368421052632
10.5,75.24,52.56560091923234,168.0,6.0,88.82352941176471
10.6,75.24,52.56560091923234,168.0,6.0,94.375
10.7,75.88,51.96407990140882,168.0,6.0,107.85714285714286
10.8,75.88,51.96407990140882,168.0,6.0,107.85714285714286
10.9,77.12,51.322759084055484,168.0,6.0,125.83333333333333
11.0,108.72,65.2984042684046,190.0,6.0,151.0
11.100000000000001,123.88,56.212681843157064,190.0,9.0,188.75
11.2,123.88,56.212681843157064,190.0,9.0,188.75
11.3,160.04,63.06788723272724,237.0,22.0,377.5
11.4,458.24,181.33069900047258,616.0,22.0,755.0
11.5,458.24,181.33069900047258,616.0,22.0,755.0
11.600000000000001,458.24,181.33069900047258,616.0,22.0,755.0
11.7,458.24,181.33069900047258,616.0,22.0,755.0
11.769551078621726,458.24,181.33069900047258,616.0,22.0,755.0
