run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
372.0,523.0,634.0,197.0,805.0,563.0,759.0,816.0,317.0,487.0,742.0,164.0,474.0,285.0,603.0,228.0,679.0,550.0,239.0,362.0,62.0,216.0,271.0,406.0,407.0
676.0,732.0,871.0,711.0,629.0,406.0,801.0,790.0,475.0,719.0,510.0,788.0,176.0,200.0,193.0,58.0,298.0,541.0,627.0,485.0,659.0,490.0,756.0,574.0,779.0
548.0,180.0,175.0,378.0,525.0,510.0,22.0,426.0,183.0,847.0,43.0,754.0,79.0,853.0,616.0,370.0,484.0,654.0,792.0,38.0,58.0,260.0,206.0,357.0,622.0
293.0,185.0,74.0,612.0,285.0,736.0,315.0,390.0,764.0,40.0,153.0,770.0,421.0,316.0,54.0,251.0,216.0,428.0,737.0,399.0,422.0,16.0,5.0,644.0,764.0
382.0,435.0,847.0,702.0,461.0,546.0,809.0,500.0,730.0,460.0,577.0,258.0,646.0,523.0,106.0,777.0,225.0,735.0,259.0,75.0,377.0,614.0,643.0,253.0,105.0
532.0,34.0,521.0,857.0,286.0,577.0,93.0,650.0,130.0,283.0,450.0,371.0,116.0,678.0,132.0,634.0,532.0,692.0,863.0,383.0,554.0,460.0,527.0,188.0,696.0
263.0,73.0,309.0,51.0,624.0,822.0,476.0,613.0,485.0,148.0,486.0,46.0,870.0,665.0,551.0,210.0,537.0,381.0,9.0,844.0,698.0,131.0,36.0,609.0,823.0
636.0,59.0,185.0,27.0,520.0,199.0,273.0,277.0,287.0,729.0,407.0,449.0,140.0,769.0,683.0,120.0,684.0,210.0,766.0,704.0,860.0,568.0,412.0,134.0,37.0
230.0,726.0,374.0,411.0,138.0,683.0,492.0,592.0,637.0,393.0,367.0,381.0,280.0,660.0,534.0,606.0,55.0,591.0,794.0,694.0,578.0,110.0,473.0,273.0,174.0
215.0,2.0,846.0,440.0,193.0,709.0,709.0,705.0,585.0,164.0,473.0,798.0,120.0,46.0,326.0,94.0,319.0,447.0,198.0,855.0,307.0,165.0,334.0,733.0,478.0
216.0,758.0,865.0,130.0,45.0,279.0,136.0,74.0,579.0,335.0,562.0,772.0,269.0,478.0,5.0,480.0,89.0,25.0,790.0,119.0,169.0,713.0,46.0,478.0,665.0
217.0,479.0,835.0,519.0,,439.0,265.0,801.0,328.0,258.0,848.0,69.0,371.0,563.0,525.0,354.0,57.0,543.0,209.0,860.0,87.0,217.0,477.0,630.0,563.0
669.0,32.0,139.0,573.0,,209.0,124.0,569.0,25.0,855.0,353.0,269.0,772.0,644.0,408.0,765.0,571.0,101.0,80.0,135.0,119.0,695.0,223.0,665.0,644.0
87.0,825.0,22.0,827.0,,415.0,48.0,218.0,101.0,773.0,201.0,455.0,69.0,630.0,425.0,635.0,539.0,764.0,327.0,322.0,716.0,215.0,323.0,292.0,630.0
713.0,753.0,445.0,315.0,,17.0,465.0,120.0,469.0,420.0,111.0,421.0,455.0,292.0,670.0,73.0,611.0,77.0,681.0,87.0,211.0,669.0,848.0,563.0,292.0
860.0,126.0,633.0,290.0,,134.0,747.0,406.0,490.0,196.0,336.0,96.0,96.0,589.0,92.0,307.0,13.0,328.0,678.0,404.0,217.0,87.0,804.0,589.0,589.0
621.0,21.0,546.0,284.0,,332.0,129.0,427.0,250.0,275.0,804.0,773.0,773.0,114.0,115.0,391.0,118.0,728.0,94.0,406.0,218.0,860.0,226.0,114.0,114.0
629.0,62.0,391.0,596.0,,345.0,361.0,599.0,586.0,56.0,119.0,448.0,448.0,224.0,515.0,515.0,308.0,23.0,174.0,82.0,221.0,621.0,562.0,224.0,224.0
695.0,300.0,354.0,463.0,,395.0,529.0,629.0,56.0,269.0,87.0,77.0,77.0,206.0,412.0,615.0,73.0,545.0,321.0,303.0,196.0,629.0,97.0,206.0,206.0
733.0,65.0,480.0,761.0,,763.0,813.0,404.0,217.0,560.0,860.0,739.0,739.0,325.0,461.0,15.0,182.0,773.0,508.0,169.0,275.0,733.0,53.0,325.0,325.0
642.0,370.0,307.0,769.0,,870.0,814.0,709.0,255.0,653.0,716.0,740.0,740.0,157.0,821.0,828.0,726.0,353.0,763.0,543.0,406.0,642.0,701.0,157.0,157.0
282.0,609.0,542.0,311.0,,352.0,14.0,732.0,269.0,660.0,211.0,728.0,728.0,679.0,188.0,860.0,782.0,579.0,345.0,805.0,709.0,282.0,201.0,679.0,679.0
774.0,72.0,527.0,690.0,,645.0,364.0,121.0,447.0,745.0,217.0,23.0,23.0,388.0,723.0,57.0,92.0,469.0,513.0,716.0,732.0,774.0,353.0,388.0,388.0
1.0,339.0,237.0,138.0,,649.0,701.0,482.0,580.0,541.0,218.0,543.0,543.0,85.0,779.0,211.0,828.0,490.0,158.0,218.0,638.0,1.0,575.0,85.0,85.0
119.0,474.0,669.0,,,771.0,88.0,603.0,638.0,322.0,221.0,636.0,636.0,152.0,166.0,562.0,189.0,250.0,161.0,221.0,603.0,119.0,305.0,152.0,152.0
550.0,574.0,251.0,,,244.0,620.0,444.0,640.0,373.0,196.0,353.0,353.0,86.0,720.0,460.0,761.0,586.0,415.0,83.0,801.0,550.0,336.0,86.0,86.0
25.0,680.0,89.0,,,260.0,552.0,1.0,745.0,307.0,275.0,564.0,564.0,241.0,16.0,225.0,33.0,56.0,500.0,353.0,353.0,25.0,815.0,241.0,241.0
57.0,362.0,705.0,,,659.0,6.0,119.0,716.0,716.0,406.0,179.0,179.0,435.0,436.0,484.0,756.0,217.0,664.0,541.0,849.0,57.0,119.0,435.0,435.0
140.0,703.0,446.0,,,700.0,627.0,87.0,855.0,16.0,709.0,211.0,211.0,504.0,567.0,169.0,36.0,255.0,840.0,630.0,166.0,140.0,463.0,504.0,504.0
255.0,861.0,211.0,,,820.0,90.0,860.0,23.0,23.0,732.0,461.0,461.0,550.0,585.0,604.0,400.0,269.0,797.0,92.0,201.0,255.0,744.0,550.0,550.0
384.0,778.0,346.0,,,158.0,192.0,716.0,543.0,81.0,638.0,562.0,562.0,113.0,596.0,848.0,593.0,580.0,395.0,243.0,383.0,384.0,117.0,113.0,113.0
447.0,18.0,660.0,,,161.0,199.0,211.0,545.0,112.0,169.0,25.0,25.0,160.0,805.0,119.0,236.0,638.0,316.0,282.0,135.0,447.0,770.0,160.0,160.0
482.0,270.0,721.0,,,270.0,683.0,217.0,728.0,248.0,603.0,101.0,101.0,31.0,236.0,189.0,341.0,640.0,352.0,589.0,322.0,482.0,48.0,31.0,31.0
