targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,6.52,4.750747309634559,19.0,1.0,6.5
7.1,6.56,4.825598408487801,19.0,1.0,6.76530612244898
7.2,6.56,4.825598408487801,19.0,1.0,7.090909090909091
7.3,7.44,5.93349812505237,22.0,1.0,7.709302325581396
7.4,7.44,5.93349812505237,22.0,1.0,8.085365853658537
7.5,9.0,8.461678320522472,29.0,1.0,8.55483870967742
7.6,10.6,11.696153213770756,43.0,1.0,9.082191780821917
7.7,11.04,11.608548574218913,43.0,1.0,9.75
7.8,11.04,11.608548574218913,43.0,1.0,9.969924812030076
7.9,11.08,11.620395862448062,43.0,1.0,10.608
8.0,13.0,14.29405470816451,47.0,1.0,11.05
8.1,13.56,14.221336083504953,47.0,1.0,11.945945945945946
8.2,16.2,16.31441080762649,49.0,1.0,12.75
8.3,16.6,16.46329250180534,50.0,1.0,13.53061224489796
8.4,16.64,16.545404195727585,51.0,1.0,14.41304347826087
8.5,16.68,16.61738848315222,51.0,1.0,15.6
8.6,16.72,16.70094608098595,52.0,1.0,16.170731707317074
8.7,21.16,21.346062868828994,66.0,1.0,18.416666666666668
8.8,21.68,21.01184427888233,66.0,1.0,19.791044776119403
8.9,21.8,20.94755355644186,66.0,1.0,21.047619047619047
9.0,22.76,21.014813822634736,66.0,1.0,24.10909090909091
9.1,22.8,21.090282122342508,66.0,1.0,25.0188679245283
9.2,23.04,21.392484661675,70.0,1.0,30.136363636363637
9.3,24.6,21.054215729872247,73.0,1.0,34.89473684210526
9.4,27.76,21.27022331805663,73.0,3.0,47.357142857142854
9.5,30.12,20.51208424319674,73.0,3.0,73.66666666666667
9.6,31.96,20.84894241922117,73.0,3.0,88.4
9.7,33.88,20.686846062171973,78.0,3.0,147.33333333333334
9.8,36.8,20.61261749511692,82.0,3.0,189.42857142857142
9.9,53.36,28.790109412782716,111.0,3.0,331.5
10.0,53.36,28.790109412782716,111.0,3.0,331.5
10.1,54.04,29.511326639105874,111.0,3.0,442.0
10.2,54.04,29.511326639105874,111.0,3.0,442.0
10.3,54.04,29.511326639105874,111.0,3.0,442.0
10.4,54.04,29.511326639105874,111.0,3.0,663.0
10.5,54.04,29.511326639105874,111.0,3.0,663.0
10.522878745280336,54.04,29.511326639105874,111.0,3.0,663.0
