targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,3.04,3.2555183919001287,13.0,1.0,10.855855855855856
7.1,3.64,3.3690354702792917,13.0,1.0,12.819148936170214
7.2,5.0,4.17612260356422,15.0,1.0,16.283783783783782
7.3,5.28,4.485710646040379,17.0,1.0,18.257575757575758
7.4,5.32,4.540660744869627,17.0,1.0,18.828125
7.5,5.88,4.909745410914908,17.0,1.0,20.775862068965516
7.6,6.72,6.187212619588888,21.0,1.0,25.638297872340427
7.7,6.72,6.187212619588888,21.0,1.0,26.195652173913043
7.8,8.28,6.440621088062858,21.0,1.0,30.897435897435898
7.9,9.6,6.273754856543248,21.0,1.0,33.47222222222222
8.0,9.6,6.273754856543248,21.0,1.0,35.44117647058823
8.1,10.0,6.330876716537765,21.0,1.0,38.87096774193548
8.2,12.68,6.33542421626208,21.0,1.0,50.208333333333336
8.3,12.68,6.33542421626208,21.0,1.0,50.208333333333336
8.4,12.68,6.33542421626208,21.0,1.0,52.391304347826086
8.5,12.8,6.393746945258312,21.0,1.0,60.25
8.6,14.2,6.318227599572526,22.0,1.0,75.3125
8.7,14.2,6.318227599572526,22.0,1.0,75.3125
8.8,19.28,6.702357794090077,39.0,1.0,120.5
8.9,20.44,6.369175770851359,39.0,1.0,150.625
9.0,20.44,6.369175770851359,39.0,1.0,150.625
9.1,152.84,35.023055263640266,185.0,1.0,301.25
9.2,152.84,35.023055263640266,185.0,1.0,401.6666666666667
9.3,153.52,35.42555010158629,187.0,1.0,602.5
9.4,153.52,35.42555010158629,187.0,1.0,602.5
9.5,153.52,35.42555010158629,187.0,1.0,602.5
9.6,153.52,35.42555010158629,187.0,1.0,602.5
9.7,153.52,35.42555010158629,187.0,1.0,602.5
9.8,153.52,35.42555010158629,187.0,1.0,602.5
9.9,153.52,35.42555010158629,187.0,1.0,602.5
10.0,153.52,35.42555010158629,187.0,1.0,602.5
10.1,153.52,35.42555010158629,187.0,1.0,602.5
10.2,153.52,35.42555010158629,187.0,1.0,602.5
10.3,153.52,35.42555010158629,187.0,1.0,602.5
10.397940008672036,153.52,35.42555010158629,187.0,1.0,602.5
