run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
486.0,636.0,1185.0,330.0,1013.0,888.0,15.0,1072.0,222.0,303.0,123.0,732.0,216.0,969.0,51.0,1089.0,735.0,139.0,80.0,589.0,438.0,692.0,968.0,891.0,1120.0
5.0,306.0,614.0,376.0,642.0,34.0,222.0,856.0,261.0,267.0,905.0,53.0,787.0,1076.0,929.0,520.0,87.0,405.0,1179.0,1165.0,58.0,685.0,589.0,1194.0,1076.0
438.0,785.0,61.0,644.0,918.0,802.0,584.0,367.0,230.0,30.0,861.0,1097.0,461.0,200.0,880.0,703.0,486.0,716.0,774.0,759.0,297.0,182.0,864.0,857.0,159.0
271.0,49.0,663.0,646.0,58.0,234.0,687.0,141.0,204.0,759.0,426.0,60.0,662.0,924.0,590.0,1106.0,510.0,742.0,874.0,549.0,631.0,337.0,1168.0,226.0,1029.0
966.0,65.0,68.0,825.0,834.0,15.0,186.0,669.0,85.0,425.0,730.0,791.0,1130.0,1029.0,736.0,912.0,191.0,987.0,391.0,66.0,325.0,819.0,412.0,538.0,831.0
783.0,452.0,888.0,1173.0,774.0,1184.0,1155.0,355.0,446.0,687.0,953.0,1072.0,568.0,1153.0,226.0,1140.0,846.0,352.0,695.0,93.0,922.0,879.0,278.0,441.0,3.0
268.0,1024.0,969.0,592.0,964.0,11.0,37.0,151.0,176.0,134.0,484.0,696.0,171.0,269.0,273.0,897.0,1159.0,1082.0,955.0,927.0,409.0,436.0,866.0,1073.0,533.0
395.0,1154.0,922.0,892.0,624.0,1156.0,390.0,336.0,296.0,760.0,67.0,1137.0,556.0,541.0,173.0,729.0,597.0,1076.0,270.0,466.0,921.0,642.0,753.0,379.0,713.0
478.0,996.0,1092.0,1107.0,904.0,972.0,766.0,752.0,876.0,857.0,750.0,95.0,1082.0,110.0,459.0,125.0,245.0,908.0,163.0,1153.0,1099.0,42.0,1082.0,318.0,512.0
1012.0,810.0,1095.0,1056.0,413.0,1078.0,822.0,46.0,822.0,80.0,812.0,433.0,106.0,471.0,477.0,644.0,115.0,513.0,1018.0,263.0,669.0,1128.0,1078.0,626.0,221.0
908.0,351.0,893.0,594.0,924.0,732.0,592.0,1035.0,312.0,592.0,1045.0,70.0,1052.0,951.0,1137.0,611.0,699.0,714.0,1177.0,1052.0,1036.0,493.0,732.0,327.0,951.0
914.0,600.0,324.0,1065.0,1043.0,953.0,594.0,924.0,269.0,594.0,492.0,20.0,610.0,902.0,870.0,1064.0,864.0,,1026.0,897.0,863.0,277.0,953.0,508.0,902.0
1074.0,809.0,841.0,595.0,734.0,1042.0,1065.0,927.0,308.0,1065.0,1018.0,1160.0,715.0,417.0,458.0,946.0,1155.0,,680.0,859.0,289.0,295.0,1042.0,191.0,417.0
690.0,1109.0,60.0,1019.0,280.0,1167.0,692.0,964.0,355.0,692.0,1111.0,858.0,918.0,1034.0,960.0,567.0,1163.0,,0.0,916.0,983.0,365.0,1167.0,203.0,1034.0
1099.0,90.0,230.0,918.0,102.0,137.0,595.0,1043.0,113.0,595.0,291.0,797.0,439.0,698.0,1016.0,613.0,1183.0,,289.0,488.0,323.0,532.0,137.0,249.0,698.0
979.0,444.0,669.0,610.0,931.0,473.0,1019.0,734.0,432.0,1019.0,604.0,846.0,948.0,761.0,941.0,690.0,1192.0,,9.0,13.0,689.0,705.0,888.0,925.0,761.0
612.0,554.0,878.0,715.0,404.0,937.0,699.0,280.0,445.0,699.0,1198.0,782.0,291.0,973.0,998.0,921.0,1158.0,,52.0,205.0,988.0,869.0,473.0,305.0,973.0
974.0,763.0,509.0,439.0,562.0,967.0,1126.0,102.0,495.0,1126.0,31.0,192.0,42.0,635.0,930.0,546.0,491.0,,53.0,507.0,1130.0,1146.0,937.0,442.0,635.0
933.0,542.0,50.0,948.0,436.0,968.0,700.0,931.0,898.0,700.0,52.0,1168.0,1189.0,815.0,1115.0,1099.0,1015.0,,90.0,1071.0,295.0,542.0,967.0,490.0,815.0
1104.0,1142.0,806.0,291.0,1163.0,984.0,864.0,404.0,1049.0,864.0,90.0,342.0,672.0,1181.0,733.0,569.0,1156.0,,100.0,692.0,365.0,809.0,984.0,619.0,1181.0
1023.0,196.0,11.0,42.0,1072.0,1068.0,963.0,562.0,181.0,963.0,242.0,516.0,163.0,748.0,901.0,689.0,569.0,,358.0,812.0,373.0,1034.0,1068.0,892.0,748.0
899.0,814.0,370.0,1189.0,1137.0,1080.0,1063.0,436.0,163.0,1063.0,470.0,776.0,185.0,928.0,395.0,899.0,595.0,,668.0,189.0,653.0,900.0,1080.0,145.0,928.0
993.0,407.0,459.0,672.0,503.0,1089.0,106.0,1163.0,825.0,106.0,950.0,198.0,397.0,1085.0,1100.0,993.0,767.0,,757.0,374.0,610.0,568.0,1089.0,115.0,1085.0
567.0,667.0,789.0,163.0,927.0,1106.0,684.0,1137.0,952.0,684.0,1165.0,443.0,423.0,404.0,1044.0,1124.0,811.0,,983.0,494.0,928.0,708.0,1106.0,851.0,404.0
611.0,1136.0,840.0,185.0,966.0,1114.0,688.0,503.0,10.0,688.0,733.0,1028.0,1014.0,900.0,200.0,908.0,844.0,,1089.0,825.0,938.0,928.0,1114.0,42.0,900.0
912.0,547.0,864.0,397.0,978.0,996.0,69.0,966.0,357.0,69.0,200.0,538.0,931.0,1086.0,393.0,933.0,926.0,,1132.0,956.0,1059.0,1085.0,996.0,1030.0,1086.0
1064.0,360.0,968.0,423.0,490.0,960.0,205.0,978.0,969.0,205.0,397.0,1119.0,135.0,250.0,487.0,1104.0,1019.0,,200.0,1036.0,1085.0,1118.0,960.0,72.0,250.0
946.0,1030.0,1017.0,1014.0,619.0,1016.0,239.0,490.0,18.0,239.0,629.0,999.0,978.0,544.0,556.0,975.0,50.0,,706.0,1143.0,49.0,985.0,1016.0,101.0,544.0
613.0,1152.0,1155.0,1130.0,870.0,941.0,257.0,619.0,418.0,257.0,706.0,110.0,437.0,78.0,1167.0,1040.0,327.0,,808.0,81.0,318.0,986.0,941.0,620.0,78.0
921.0,91.0,72.0,931.0,7.0,998.0,367.0,870.0,388.0,367.0,988.0,507.0,680.0,51.0,497.0,992.0,356.0,,926.0,145.0,743.0,545.0,998.0,715.0,51.0
546.0,358.0,1156.0,135.0,749.0,930.0,508.0,7.0,778.0,508.0,1100.0,1041.0,209.0,219.0,1172.0,1006.0,508.0,,988.0,196.0,828.0,592.0,930.0,855.0,219.0
569.0,798.0,327.0,978.0,759.0,1115.0,525.0,749.0,55.0,525.0,930.0,180.0,289.0,511.0,1198.0,1120.0,592.0,,1130.0,401.0,1117.0,594.0,1115.0,890.0,511.0
689.0,890.0,369.0,437.0,1007.0,733.0,593.0,759.0,36.0,593.0,1115.0,904.0,305.0,678.0,816.0,526.0,593.0,,487.0,1111.0,236.0,938.0,733.0,140.0,678.0
1124.0,1158.0,134.0,680.0,1117.0,901.0,916.0,1007.0,727.0,916.0,901.0,19.0,442.0,824.0,61.0,612.0,594.0,,684.0,837.0,400.0,1065.0,901.0,432.0,824.0
975.0,1163.0,266.0,209.0,1176.0,395.0,488.0,1117.0,364.0,488.0,395.0,745.0,508.0,1072.0,257.0,844.0,617.0,,696.0,939.0,447.0,673.0,395.0,1155.0,1072.0
1040.0,1159.0,767.0,289.0,37.0,1100.0,13.0,1176.0,823.0,13.0,1044.0,27.0,617.0,503.0,868.0,910.0,690.0,,712.0,944.0,480.0,700.0,1100.0,1182.0,503.0
992.0,699.0,179.0,305.0,1035.0,1044.0,507.0,37.0,382.0,507.0,459.0,122.0,892.0,1035.0,1173.0,914.0,567.0,,750.0,162.0,800.0,672.0,1044.0,1183.0,1035.0
1006.0,864.0,850.0,442.0,219.0,459.0,1071.0,219.0,38.0,1071.0,941.0,161.0,919.0,568.0,474.0,974.0,611.0,,1045.0,432.0,62.0,1072.0,459.0,1192.0,568.0
1120.0,1155.0,356.0,508.0,419.0,200.0,812.0,419.0,343.0,812.0,393.0,235.0,1059.0,805.0,812.0,977.0,908.0,,492.0,1024.0,683.0,569.0,200.0,126.0,805.0
526.0,1183.0,1159.0,617.0,845.0,393.0,189.0,845.0,351.0,189.0,487.0,246.0,1098.0,985.0,890.0,1074.0,914.0,,1111.0,1125.0,694.0,595.0,393.0,154.0,985.0
844.0,1192.0,699.0,919.0,958.0,487.0,374.0,958.0,454.0,374.0,556.0,645.0,1007.0,988.0,24.0,966.0,1074.0,,291.0,440.0,734.0,689.0,487.0,1071.0,988.0
910.0,491.0,1163.0,1059.0,959.0,556.0,1052.0,959.0,524.0,1052.0,1167.0,823.0,1117.0,102.0,90.0,1088.0,966.0,,604.0,185.0,900.0,926.0,556.0,317.0,102.0
977.0,1015.0,1183.0,1098.0,1075.0,497.0,494.0,1075.0,534.0,494.0,497.0,889.0,0.0,470.0,242.0,1023.0,1099.0,,1198.0,623.0,286.0,988.0,497.0,882.0,470.0
1088.0,1156.0,1192.0,1007.0,1016.0,1172.0,825.0,1016.0,177.0,825.0,1172.0,917.0,49.0,545.0,349.0,979.0,979.0,,31.0,61.0,545.0,1019.0,1172.0,186.0,545.0
985.0,569.0,1158.0,1117.0,1036.0,1198.0,956.0,1036.0,254.0,956.0,816.0,653.0,274.0,964.0,549.0,985.0,612.0,,242.0,486.0,546.0,1124.0,1198.0,297.0,964.0
1153.0,595.0,491.0,0.0,1054.0,816.0,1153.0,1054.0,274.0,1153.0,61.0,228.0,312.0,386.0,678.0,1153.0,974.0,,470.0,728.0,601.0,1153.0,816.0,494.0,386.0
545.0,767.0,1015.0,49.0,1108.0,61.0,1036.0,1108.0,486.0,1036.0,257.0,1164.0,859.0,403.0,876.0,545.0,933.0,,950.0,1079.0,830.0,106.0,61.0,518.0,403.0
768.0,811.0,569.0,274.0,73.0,257.0,1143.0,73.0,615.0,1143.0,868.0,453.0,1012.0,530.0,922.0,768.0,1104.0,,1165.0,1185.0,949.0,187.0,257.0,556.0,530.0
1003.0,844.0,595.0,312.0,463.0,868.0,81.0,463.0,1185.0,81.0,1173.0,467.0,54.0,580.0,31.0,1003.0,1023.0,,733.0,638.0,1178.0,1014.0,868.0,686.0,580.0
1009.0,926.0,811.0,859.0,518.0,1173.0,145.0,518.0,68.0,145.0,474.0,141.0,256.0,670.0,74.0,1009.0,899.0,,397.0,281.0,1182.0,1029.0,1173.0,714.0,670.0
