run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
744.0,339.0,267.0,232.0,585.0,726.0,350.0,361.0,782.0,872.0,223.0,796.0,456.0,944.0,415.0,894.0,844.0,284.0,515.0,720.0,477.0,383.0,414.0,270.0,609.0
728.0,248.0,1013.0,360.0,813.0,525.0,581.0,294.0,784.0,846.0,177.0,871.0,929.0,286.0,943.0,194.0,30.0,685.0,599.0,790.0,320.0,764.0,246.0,463.0,753.0
927.0,663.0,728.0,180.0,837.0,445.0,997.0,134.0,300.0,39.0,339.0,629.0,506.0,204.0,932.0,719.0,975.0,1019.0,308.0,445.0,522.0,126.0,134.0,660.0,922.0
914.0,310.0,645.0,1010.0,787.0,587.0,992.0,962.0,893.0,563.0,567.0,104.0,920.0,291.0,917.0,489.0,653.0,392.0,38.0,921.0,528.0,499.0,689.0,206.0,513.0
496.0,85.0,812.0,301.0,112.0,731.0,592.0,164.0,409.0,784.0,582.0,658.0,425.0,882.0,1023.0,525.0,319.0,428.0,455.0,1027.0,925.0,765.0,913.0,213.0,636.0
27.0,1004.0,944.0,833.0,244.0,894.0,725.0,228.0,768.0,271.0,835.0,954.0,578.0,304.0,411.0,206.0,327.0,362.0,858.0,451.0,633.0,958.0,734.0,454.0,732.0
31.0,1038.0,946.0,27.0,358.0,437.0,915.0,970.0,898.0,330.0,285.0,183.0,274.0,296.0,524.0,526.0,904.0,190.0,622.0,262.0,514.0,438.0,119.0,399.0,264.0
553.0,592.0,763.0,416.0,1045.0,839.0,860.0,669.0,871.0,139.0,592.0,667.0,789.0,819.0,442.0,142.0,1027.0,880.0,23.0,821.0,428.0,648.0,363.0,158.0,307.0
683.0,329.0,1036.0,328.0,472.0,480.0,864.0,54.0,9.0,368.0,664.0,255.0,1019.0,541.0,80.0,926.0,315.0,769.0,262.0,539.0,337.0,346.0,880.0,866.0,536.0
495.0,1036.0,143.0,509.0,835.0,219.0,938.0,471.0,825.0,795.0,64.0,655.0,965.0,633.0,210.0,126.0,817.0,961.0,212.0,883.0,62.0,44.0,821.0,837.0,422.0
135.0,1007.0,455.0,324.0,968.0,154.0,934.0,913.0,437.0,1031.0,459.0,578.0,468.0,1003.0,892.0,981.0,261.0,691.0,889.0,839.0,339.0,1039.0,43.0,922.0,724.0
641.0,261.0,621.0,307.0,473.0,,955.0,128.0,477.0,309.0,955.0,692.0,931.0,375.0,1039.0,378.0,373.0,804.0,755.0,154.0,941.0,58.0,439.0,825.0,808.0
60.0,373.0,154.0,508.0,818.0,,990.0,941.0,408.0,407.0,966.0,548.0,1017.0,281.0,123.0,517.0,416.0,240.0,114.0,,402.0,123.0,985.0,63.0,1020.0
366.0,416.0,,581.0,823.0,,950.0,339.0,348.0,845.0,26.0,579.0,918.0,788.0,346.0,800.0,542.0,813.0,238.0,,456.0,214.0,129.0,64.0,224.0
757.0,542.0,,65.0,915.0,,326.0,537.0,633.0,865.0,510.0,166.0,1024.0,538.0,388.0,920.0,573.0,390.0,327.0,,468.0,948.0,750.0,691.0,475.0
996.0,573.0,,461.0,768.0,,717.0,976.0,299.0,622.0,287.0,513.0,852.0,932.0,885.0,939.0,766.0,415.0,740.0,,931.0,690.0,671.0,856.0,444.0
1009.0,653.0,,950.0,276.0,,776.0,685.0,368.0,625.0,798.0,959.0,59.0,435.0,948.0,906.0,1040.0,806.0,154.0,,1017.0,990.0,413.0,62.0,1021.0
738.0,766.0,,42.0,567.0,,1044.0,817.0,1031.0,1033.0,997.0,472.0,630.0,814.0,188.0,1049.0,1038.0,63.0,,,918.0,530.0,132.0,819.0,681.0
953.0,1040.0,,297.0,441.0,,1047.0,550.0,309.0,943.0,401.0,807.0,569.0,761.0,469.0,104.0,730.0,856.0,,,1024.0,876.0,241.0,921.0,983.0
400.0,730.0,,990.0,503.0,,324.0,984.0,407.0,757.0,729.0,936.0,879.0,830.0,690.0,578.0,115.0,66.0,,,852.0,1012.0,313.0,125.0,201.0
348.0,859.0,,285.0,534.0,,712.0,97.0,845.0,282.0,909.0,880.0,916.0,1034.0,715.0,692.0,1007.0,372.0,,,59.0,1042.0,393.0,924.0,1043.0
537.0,115.0,,366.0,212.0,,237.0,214.0,865.0,347.0,933.0,817.0,1023.0,489.0,34.0,548.0,429.0,454.0,,,630.0,311.0,486.0,386.0,391.0
406.0,854.0,,960.0,62.0,,510.0,431.0,622.0,756.0,876.0,958.0,1026.0,74.0,779.0,579.0,529.0,323.0,,,569.0,414.0,99.0,721.0,414.0
875.0,327.0,,34.0,1041.0,,459.0,772.0,625.0,759.0,1000.0,623.0,500.0,118.0,1012.0,166.0,862.0,329.0,,,879.0,295.0,440.0,829.0,150.0
1031.0,429.0,,785.0,684.0,,65.0,370.0,1033.0,895.0,207.0,886.0,682.0,805.0,1042.0,513.0,367.0,381.0,,,916.0,326.0,554.0,867.0,640.0
326.0,529.0,,1000.0,25.0,,306.0,756.0,943.0,953.0,776.0,1011.0,783.0,978.0,421.0,959.0,398.0,575.0,,,1023.0,731.0,269.0,65.0,892.0
550.0,862.0,,284.0,489.0,,461.0,236.0,757.0,954.0,581.0,892.0,927.0,279.0,391.0,472.0,767.0,773.0,,,1026.0,963.0,466.0,735.0,1039.0
371.0,367.0,,369.0,744.0,,833.0,793.0,282.0,72.0,774.0,123.0,290.0,763.0,640.0,807.0,474.0,792.0,,,500.0,1030.0,187.0,764.0,167.0
214.0,398.0,,954.0,505.0,,307.0,956.0,347.0,349.0,325.0,346.0,881.0,877.0,731.0,936.0,859.0,917.0,,,682.0,1044.0,557.0,972.0,123.0
309.0,767.0,,467.0,422.0,,508.0,202.0,756.0,633.0,468.0,712.0,1004.0,1032.0,733.0,880.0,546.0,905.0,,,783.0,1047.0,558.0,915.0,277.0
92.0,122.0,,515.0,949.0,,42.0,368.0,759.0,753.0,569.0,350.0,582.0,121.0,1044.0,817.0,33.0,760.0,,,927.0,277.0,809.0,1011.0,346.0
298.0,474.0,,326.0,689.0,,297.0,36.0,895.0,1030.0,879.0,770.0,832.0,336.0,277.0,958.0,114.0,690.0,,,290.0,388.0,121.0,296.0,388.0
1015.0,546.0,,717.0,421.0,,285.0,83.0,953.0,406.0,921.0,442.0,66.0,831.0,711.0,623.0,471.0,715.0,,,881.0,711.0,387.0,319.0,473.0
24.0,33.0,,776.0,391.0,,366.0,91.0,954.0,787.0,931.0,1039.0,451.0,863.0,712.0,886.0,854.0,922.0,,,1004.0,712.0,392.0,785.0,714.0
65.0,114.0,,1030.0,848.0,,960.0,156.0,72.0,632.0,1028.0,388.0,798.0,750.0,869.0,1011.0,238.0,322.0,,,582.0,869.0,490.0,876.0,329.0
461.0,471.0,,1044.0,167.0,,34.0,178.0,349.0,697.0,684.0,885.0,955.0,294.0,125.0,892.0,154.0,535.0,,,832.0,1015.0,509.0,1013.0,350.0
764.0,889.0,,1047.0,253.0,,785.0,524.0,753.0,358.0,769.0,948.0,287.0,418.0,329.0,123.0,,530.0,,,66.0,1025.0,520.0,1042.0,770.0
973.0,238.0,,372.0,476.0,,1000.0,704.0,1030.0,793.0,972.0,188.0,950.0,913.0,350.0,346.0,,785.0,,,929.0,125.0,709.0,902.0,917.0
994.0,108.0,,510.0,527.0,,284.0,89.0,406.0,299.0,1004.0,469.0,966.0,128.0,770.0,712.0,,825.0,,,451.0,330.0,726.0,355.0,442.0
131.0,154.0,,795.0,792.0,,369.0,364.0,787.0,860.0,125.0,690.0,972.0,464.0,886.0,350.0,,1050.0,,,798.0,350.0,748.0,720.0,885.0
